,time,Cnorm_grn,Cnorm_red,NF_ratio,rep,im_nr,drop_id
0,-9,1.1329019598102288,1.0729517396184063,0,1,2,4
1,-6,1.167136121106837,1.1126322339763528,0,1,2,4
2,-3,1.161810519370128,0.4799999999999999,0,1,2,4
3,0,0.0,-0.0,0,1,2,4
4,3,0.14760041038112248,-0.9853192215773307,0,1,2,4
5,6,0.1913149626358696,1.1513671875000007,0,1,2,4
6,9,0.2383818066797515,-2.230163196398425,0,1,2,4
7,12,0.245040981644691,-0.06162876008804137,0,1,2,4
8,15,0.28999997867208116,-0.48179871520342626,0,1,2,4
9,18,0.2685403247188733,-1.7824675324675323,0,1,2,4
10,21,0.2727419629656094,-0.9063097514340354,0,1,2,4
11,24,0.24865307658672398,0.5664217071791969,0,1,2,4
12,27,0.27603302657390294,0.6483790523690772,0,1,2,4
13,30,0.2542931672783298,-0.32855280312907437,0,1,2,4
14,33,0.2952428689172667,-1.1902552204176347,0,1,2,4
15,36,0.34463537088376495,-0.06125498007968164,0,1,2,4
16,39,0.29174355541932784,-1.6934644303065363,0,1,2,4
17,42,0.2929704744895313,-1.612687813021703,0,1,2,4
18,45,0.28600459638694364,-1.130704750077616,0,1,2,4
19,48,0.28705443266211905,1.2081911262798635,0,1,2,4
20,51,0.2842011984133683,0.20782323081516862,0,1,2,4
21,54,0.3230755311999173,1.236564299424184,0,1,2,4
22,57,0.2808101921609613,-2.1039222259470334,0,1,2,4
23,60,0.28983381224886084,1.754595981188542,0,1,2,4
24,63,0.2974698162026825,0.01228668941979511,0,1,2,4
25,66,0.29174072115342936,1.2245681381957771,0,1,2,4
26,69,0.2778104626694434,0.42652084757347897,0,1,2,4
27,72,0.24255753407586791,-0.36409883720930286,0,1,2,4
28,75,0.34039013995225537,-0.6011820996341124,0,1,2,4
29,78,0.31685985328909455,0.3422153710636422,0,1,2,4
30,81,0.2910415446139739,-0.3746081504702196,0,1,2,4
31,84,0.3503187757274278,-0.12552301255230125,0,1,2,4
32,87,0.32441240854105674,1.0881332408049964,0,1,2,4
33,90,0.3238172815434348,-0.41922861934041367,0,1,2,4
34,93,0.35191494360902265,-0.5440634740719751,0,1,2,4
35,96,0.3165103768831971,-0.3529411764705884,0,1,2,4
36,99,0.32493835180286257,-1.026938775510205,0,1,2,4
37,102,0.3078116927939153,-0.09440350527783319,0,1,2,4
38,105,0.32231727363358814,0.023715415019762858,0,1,2,4
39,108,0.31687170708342943,0.49740932642487035,0,1,2,4
0,-9,1.121074502819828,1.1251903746573257,0,1,2,9
1,-6,1.2031922844229332,1.2713195946715246,0,1,2,9
2,-3,1.154663617848435,0.7901888727459192,0,1,2,9
3,0,0.0,-0.0,0,1,2,9
4,3,0.137028663630837,0.5153884215734785,0,1,2,9
5,6,0.1443008258967487,0.23807458803122306,0,1,2,9
6,9,0.2339595076035447,-0.057595526561043865,0,1,2,9
7,12,0.23011785211149582,0.13633609371844072,0,1,2,9
8,15,0.20523669801735248,-0.4376832844574778,0,1,2,9
9,18,0.23122538482408253,0.5141078838174274,0,1,2,9
10,21,0.20783521750111875,0.7300756253635835,0,1,2,9
11,24,0.2227720108583842,0.28392757140190394,0,1,2,9
12,27,0.27016082866835783,-0.004450625869262928,0,1,2,9
13,30,0.2645634868249373,0.33348469712106066,0,1,2,9
14,33,0.23823845887192596,0.3296629213483148,0,1,2,9
15,36,0.28160608690387284,0.1468906361686921,0,1,2,9
16,39,0.2965261213436396,0.5019651880965749,0,1,2,9
17,42,0.2736242703908875,0.49493658440664634,0,1,2,9
18,45,0.2664299251392983,0.24122342983552955,0,1,2,9
19,48,0.2579261829045003,-0.14707857622565465,0,1,2,9
20,51,0.2775079503911714,0.3141092636579573,0,1,2,9
21,54,0.28915008818559673,0.2755641748942173,0,1,2,9
22,57,0.2769178036076069,0.5445417856088198,0,1,2,9
23,60,0.29163254667564154,0.5429322122963742,0,1,2,9
24,63,0.2802210593116291,0.7777557886404116,0,1,2,9
25,66,0.2625358240249455,0.4175888177052998,0,1,2,9
26,69,0.2892704548259977,0.048249027237354136,0,1,2,9
27,72,0.27771308690924135,0.5136986301369862,0,1,2,9
28,75,0.2933861119912311,0.5111380370957218,0,1,2,9
29,78,0.2927258154819991,0.682597934624904,0,1,2,9
30,81,0.2532441471571906,0.6068702290076337,0,1,2,9
31,84,0.3024075988868559,0.6251445858172435,0,1,2,9
32,87,0.2746505364365442,0.6819723454213411,0,1,2,9
33,90,0.3014645555514738,0.7777571136321368,0,1,2,9
34,93,0.30737097677893294,0.9292853806632414,0,1,2,9
35,96,0.2874198019740575,0.6801047120418847,0,1,2,9
36,99,0.26596222104361306,0.7105335913740669,0,1,2,9
37,102,0.2987600841519373,0.8697220628023283,0,1,2,9
38,105,0.28554029681296206,0.7301066447908121,0,1,2,9
39,108,0.3033600304304642,0.44580284115368063,0,1,2,9
0,-9,1.0437225383562632,0.9356984478935698,0,1,2,10
1,-6,1.1581281851665282,1.2265309703456746,0,1,2,10
2,-3,1.0955621521582681,1.0096321225484506,0,1,2,10
3,0,0.0,-0.0,0,1,2,10
4,3,0.193246452705999,0.3170488534396807,0,1,2,10
5,6,0.2530830293832148,0.5452768729641695,0,1,2,10
6,9,0.32528232264171003,0.25189641642688965,0,1,2,10
7,12,0.32236661023213803,0.1003226752713404,0,1,2,10
8,15,0.40505068709168723,0.49667858967807865,0,1,2,10
9,18,0.4223808066750236,0.5216595485051859,0,1,2,10
10,21,0.3945486922467628,0.2365145228215766,0,1,2,10
11,24,0.4182621157066242,0.6110091743119266,0,1,2,10
12,27,0.4308462480694466,0.4674717569146862,0,1,2,10
13,30,0.45030330835499827,0.12337580421344739,0,1,2,10
14,33,0.42660428635925035,0.35488308115543316,0,1,2,10
15,36,0.410717432670279,0.43438579181055753,0,1,2,10
16,39,0.4201266992213277,0.4360075588386874,0,1,2,10
17,42,0.45910343324372516,-0.4250035275857208,0,1,2,10
18,45,0.39648662122884615,-0.3232599480377414,0,1,2,10
19,48,0.3833993146811271,0.36923076923076903,0,1,2,10
20,51,0.45622963489245894,0.04918693723961806,0,1,2,10
21,54,0.4166683740720251,0.44818401937046,0,1,2,10
22,57,0.45053508534272557,1.0532862190812722,0,1,2,10
23,60,0.4575042556739521,0.2155185818690714,0,1,2,10
24,63,0.45925836650632557,0.5690686414127027,0,1,2,10
25,66,0.48572305873241023,0.539484621778886,0,1,2,10
26,69,0.4553521837774562,0.7492041032897063,0,1,2,10
27,72,0.474529463186627,0.7986557568673289,0,1,2,10
28,75,0.47980338035280085,0.13734466971877043,0,1,2,10
29,78,0.41983019283759404,0.5434958878721187,0,1,2,10
30,81,0.5008573561154708,0.4909090909090909,0,1,2,10
31,84,0.44479840876831134,1.1477621091354995,0,1,2,10
32,87,0.44636250124920024,0.22388591800356494,0,1,2,10
33,90,0.4614436035205876,0.251108213820078,0,1,2,10
34,93,0.4718999537589808,0.6731400078729824,0,1,2,10
35,96,0.4922184537247989,0.6318051575931232,0,1,2,10
36,99,0.4419661903031315,0.5438393202008497,0,1,2,10
37,102,0.5226737047449652,0.0579392077252274,0,1,2,10
38,105,0.4618849647391355,0.43058197033092416,0,1,2,10
39,108,0.48216310366925746,0.6526784667682569,0,1,2,10
0,-9,1.1255424340507947,1.1023427866831066,0,1,1,2
1,-6,1.090782959124928,0.6836259405231098,0,1,1,2
2,-3,1.0584438601561066,0.21298095608239395,0,1,1,2
3,0,0.0,-0.0,0,1,1,2
4,3,0.11494917846392656,0.04920405209840776,0,1,1,2
5,6,0.16110765225686524,0.16301703163017006,0,1,1,2
6,9,0.20161839876470913,-2.8655416439847574,0,1,1,2
7,12,0.2178725109344317,-0.01821493624772314,0,1,1,2
8,15,0.2156537661707949,-0.7234963219385548,0,1,1,2
9,18,0.23868812724862715,-1.1631603553062178,0,1,1,2
10,21,0.23913331632500348,0.10566037735849057,0,1,1,2
11,24,0.26920796418351656,-0.33628318584070804,0,1,1,2
12,27,0.23625084027390078,-3.8413842826243676,0,1,1,2
13,30,0.25845081052603536,1.055825242718447,0,1,1,2
14,33,0.26939390589453716,-2.0186046511627906,0,1,1,2
15,36,0.24768248300487536,0.64,0,1,1,2
16,39,0.26527169270910794,-1.2390786338363784,0,1,1,2
17,42,0.23397405451853842,0.7386172006745363,0,1,1,2
18,45,0.2736360658522086,-0.6602092212320805,0,1,1,2
19,48,0.26048891642847144,-0.5055131467345211,0,1,1,2
20,51,0.25876469297652427,-0.5285961871750434,0,1,1,2
21,54,0.26325880519011075,-0.43515439429928754,0,1,1,2
22,57,0.25663870749001283,-0.9015544041450775,0,1,1,2
23,60,0.2431545630542084,-0.9986973512809381,0,1,1,2
24,63,0.25964666692589855,-2.404481792717087,0,1,1,2
25,66,0.2750590588764993,1.749999999999999,0,1,1,2
26,69,0.3185596212345937,-2.5434298440979948,0,1,1,2
27,72,0.3159100581229267,-0.33765073693613235,0,1,1,2
28,75,0.30256025108637524,-1.034175334323922,0,1,1,2
29,78,0.3005334234618154,-1.625263157894737,0,1,1,2
30,81,0.3071862864201415,-0.09962168978562427,0,1,1,2
31,84,0.30260965799557316,-0.27866473149492,0,1,1,2
32,87,0.29749369449884383,-0.19728072513996267,0,1,1,2
33,90,0.25881102708660986,0.05912334352701335,0,1,1,2
34,93,0.2710741560980929,-0.864097363083164,0,1,1,2
35,96,0.2697982715842212,-0.9580936729663109,0,1,1,2
36,99,0.32573805738788286,-0.8330541596873257,0,1,1,2
37,102,0.3085596025994922,0.8853190539937525,0,1,1,2
38,105,0.30897608253869,-0.8639771510174937,0,1,1,2
39,108,0.3101365801497035,0.4863523573200991,0,1,1,2
0,-9,1.1435284939160455,1.698630136986301,0,1,1,3
1,-6,1.215352839058758,0.9794569067296339,0,1,1,3
2,-3,1.1537311914617256,0.613393079412497,0,1,1,3
3,0,0.0,-0.0,0,1,1,3
4,3,0.0946095371907596,-0.8803963198867659,0,1,1,3
5,6,0.21583949521514223,0.08808290155440393,0,1,1,3
6,9,0.23790160418249248,0.23773239865894544,0,1,1,3
7,12,0.26154008661666844,-0.17362637362637381,0,1,1,3
8,15,0.26133039414337544,-0.19600532623169115,0,1,1,3
9,18,0.3024363918540009,0.3114708344962323,0,1,1,3
10,21,0.2879936316212569,0.0635075720566683,0,1,1,3
11,24,0.2624983852215476,0.41119592875318073,0,1,1,3
12,27,0.3389886767874142,-0.0861886259272341,0,1,1,3
13,30,0.32104137063713717,0.6895213454075032,0,1,1,3
14,33,0.29436877023172336,0.6388425153032834,0,1,1,3
15,36,0.31998867140789233,-0.0044543429844099685,0,1,1,3
16,39,0.27016384461298776,0.20898536092882375,0,1,1,3
17,42,0.26975421098326885,0.32547528517110275,0,1,1,3
18,45,0.2817743710902892,-0.09341614906832303,0,1,1,3
19,48,0.326324344493988,-0.23566543924250405,0,1,1,3
20,51,0.29821093373644086,0.2835820895522388,0,1,1,3
21,54,0.29050893352273394,0.13975767821921675,0,1,1,3
22,57,0.29825696935791823,-0.22765957446808516,0,1,1,3
23,60,0.28948012744986873,-0.16760074726447846,0,1,1,3
24,63,0.33803406272042097,0.4471972746980489,0,1,1,3
25,66,0.3592041079109869,0.5834862385321098,0,1,1,3
26,69,0.3443268978155977,0.980246913580247,0,1,1,3
27,72,0.28270603274939454,-0.29541134944338876,0,1,1,3
28,75,0.3465491639851705,0.18827606121859636,0,1,1,3
29,78,0.33983852095305705,0.6301847333565701,0,1,1,3
30,81,0.3026203859154658,-0.533795493934142,0,1,1,3
31,84,0.3568809871092364,0.15523809523809506,0,1,1,3
32,87,0.35168557574070214,0.43118383060635224,0,1,1,3
33,90,0.3364865889728747,-0.21843805049911913,0,1,1,3
34,93,0.3511319101624028,0.09601873536299751,0,1,1,3
35,96,0.3121423651584189,-0.630221763795771,0,1,1,3
36,99,0.3311060917641506,0.4760432766615147,0,1,1,3
37,102,0.3638370214214201,0.34843962008141105,0,1,1,3
38,105,0.3485238686926885,0.18280329799764433,0,1,1,3
39,108,0.2971033981953391,-0.34618680377035144,0,1,1,3
0,-9,1.0577514037445594,2.3734776725304454,0,1,1,16
1,-6,0.9882627448207596,0.28862863619191526,0,1,1,16
2,-3,1.0317115127750596,0.39687114038699045,0,1,1,16
3,0,0.0,-0.0,0,1,1,16
4,3,0.0870001025806357,-2.636510500807753,0,1,1,16
5,6,0.1871076241714925,-1.6826666666666665,0,1,1,16
6,9,0.1964523805505392,-1.8050797401063194,0,1,1,16
7,12,0.20337827339062847,-3.35477582846004,0,1,1,16
8,15,0.24563563512598222,-1.6631287494231652,0,1,1,16
9,18,0.22924949044457452,0.7639097744360901,0,1,1,16
10,21,0.27054563273592236,-2.0095770151636074,0,1,1,16
11,24,0.2479121781060839,-1.2758326216908626,0,1,1,16
12,27,0.2584958671905056,-1.647626709573611,0,1,1,16
13,30,0.30146196260067476,0.542553191489362,0,1,1,16
14,33,0.27537569913096305,-0.20538384845463573,0,1,1,16
15,36,0.2349506944932425,-2.3074141048824583,0,1,1,16
16,39,0.279247043956251,0.7312552653748948,0,1,1,16
17,42,0.27917318151553466,1.9155470249520148,0,1,1,16
18,45,0.2681854913905638,-0.8617152236356174,0,1,1,16
19,48,0.2916583259909117,0.6702800361336947,0,1,1,16
20,51,0.22691288001256318,-0.3179297597042512,0,1,1,16
21,54,0.27443022503969794,0.5976542580316166,0,1,1,16
22,57,0.2812174495874306,-0.738489871086556,0,1,1,16
23,60,0.2831479649616434,-0.7299675775822142,0,1,1,16
24,63,0.2825316948275633,0.12675198049969572,0,1,1,16
25,66,0.2881502713199768,1.2635135135135136,0,1,1,16
26,69,0.28285191999666554,1.3995157384987893,0,1,1,16
27,72,0.28876328715778665,-1.3097852028639616,0,1,1,16
28,75,0.29542972548432944,-0.39893333333333286,0,1,1,16
29,78,0.3125069593453852,-0.7993754879000777,0,1,1,16
30,81,0.28518594739369424,-0.5165125495376485,0,1,1,16
31,84,0.31464371907071986,-0.2695252679938743,0,1,1,16
32,87,0.32699687529764554,0.09426115885777653,0,1,1,16
33,90,0.32641215323233735,-3.423542354235422,0,1,1,16
34,93,0.28475073446532284,-0.8140043763676144,0,1,1,16
35,96,0.3139973230841018,-0.1222707423580786,0,1,1,16
36,99,0.2787755076561983,1.1511839708561018,0,1,1,16
37,102,0.2807738852039644,-0.03624225083452561,0,1,1,16
38,105,0.3102070654927184,0.639819345126082,0,1,1,16
39,108,0.27169256824068544,0.551948051948052,0,1,1,16
0,-9,1.1473720236128186,1.7570993914807302,0,2,1,7
1,-6,1.1269798064566365,0.7117934403349616,0,2,1,7
2,-3,1.1198030066693538,1.688084112149533,0,2,1,7
3,0,0.0,-0.0,0,2,1,7
4,3,0.16103886252842797,0.25580480125934674,0,2,1,7
5,6,0.1980691318664901,0.6941215543008967,0,2,1,7
6,9,0.2084806451899955,1.249338274219164,0,2,1,7
7,12,0.2090463944763448,0.6175343700698668,0,2,1,7
8,15,0.2438232421398401,1.217853975761159,0,2,1,7
9,18,0.23458735448076287,0.42109256449165383,0,2,1,7
10,21,0.23126004272418832,-0.17044009157975076,0,2,1,7
11,24,0.2531893327270905,0.881521943868902,0,2,1,7
12,27,0.23864229484026836,0.5703422053231939,0,2,1,7
13,30,0.2671259438373976,-0.6789989118607187,0,2,1,7
14,33,0.2402334610058914,1.0166727075027184,0,2,1,7
15,36,0.246938778382898,1.2670565302144254,0,2,1,7
16,39,0.27399777660233815,0.8687258687258688,0,2,1,7
17,42,0.2999423034548343,0.6454953400069033,0,2,1,7
