,area,eccentricity,centroid-0,centroid-1,mean_intensity,centroid_int,RNA,rep
0,1.4110549281581488,0.6339047866089229,8.310344827586206,426.02758620689656,14796.393103448276,15963.8,no,1
2,3.4157260674724843,0.6138121247247821,20.17948717948718,209.96581196581195,19470.88603988604,22374.6,no,1
3,2.744258549935158,0.7704102141152218,20.365248226950353,165.63829787234042,20209.677304964538,23015.8,no,1
4,2.325807778136535,0.5764779148318467,27.271966527196653,268.2845188284519,19639.732217573222,22482.2,no,1
5,5.09926056796462,0.5987137604686723,29.045801526717558,17.255725190839694,20656.717557251908,20996.6,no,1
7,5.809653738692516,0.4522228260542846,29.10385259631491,182.179229480737,23555.09212730318,25187.0,no,1
8,3.2989491079007753,0.3173511388482625,37.666666666666664,71.89085545722713,20933.04424778761,30623.8,no,1
9,5.303620247215111,0.6798076637748691,36.908256880733944,482.6880733944954,22004.54862385321,24911.2,no,1
10,4.301284677557943,0.6831812909681177,35.19683257918552,329.7330316742081,25586.658371040725,30896.0,no,1
11,5.848579391883085,0.6144177723044238,38.84692179700499,453.1830282861897,22927.93677204659,23249.4,no,1
12,3.075126602055,0.8201291663782808,47.28481012658228,342.4240506329114,24009.648734177215,25621.6,no,1
13,4.710004036058924,0.4406420406532979,55.58884297520661,28.181818181818183,22082.30578512397,26320.2,no,1
14,3.026469535566788,0.7812404097096204,60.652733118971064,337.5980707395498,20849.279742765273,23118.0,no,1
15,1.9754768994214083,0.4885720507325082,68.82266009852216,225.19704433497537,16993.295566502464,20671.4,no,1
16,8.962631647128655,0.6787033239044135,76.9055374592834,481.04777415852334,22072.539630836047,26295.0,no,1
17,4.583495663189573,0.5367725854671958,80.18471337579618,337.64331210191085,22468.184713375795,28246.6,no,1
19,2.6761386568516614,0.6929792616071649,87.97454545454545,87.20363636363636,18586.116363636364,21999.4,no,1
22,0.8077073037043196,0.6873093354169297,92.57831325301204,281.87951807228916,13189.746987951807,13283.8,no,1
23,1.0899182893359494,0.6841764740777319,94.19642857142857,74.47321428571429,15955.24107142857,15145.0,no,1
27,3.1043208419479273,0.5994593178576725,119.84012539184953,47.42006269592476,20404.639498432603,24519.4,no,1
28,4.311016090855586,0.3737005926988558,120.87810383747178,234.13769751693002,22272.207674943566,27963.4,no,1
29,2.8902297493997944,0.5084106977284325,126.91582491582491,378.93939393939394,21530.434343434343,24468.0,no,1
30,3.8633710791640348,0.8282044056726963,134.23677581863979,428.7103274559194,19829.27204030227,28468.0,no,1
31,4.2915532642603,0.6778692606623572,132.48072562358277,217.14965986394557,21925.775510204083,22444.8,no,1
32,1.469443407944003,0.6962060529386103,135.7814569536424,239.16556291390728,19147.947019867548,23992.2,no,1
35,2.3647334313271045,0.6421324470190215,142.320987654321,383.3374485596708,18927.794238683127,20877.4,no,1
